REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Pierre-Luc GIRARD-LAURIAULT","Étude des interactions entre les cellules vivantes et les couches minces organiques préparées par plasma","MEES",80000,,,80000,200000,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Fab. de matériel médical et chirurgical + appareils ortho.","Génie chimique"
"Capitale-Nationale","Université Laval","CIUSSS de la Capitale-Nationale - Institut universitaire en santé mentale de Québec - Centre de recherche","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Philip JACKSON","Environnement évolutif et virtuel pour étudier l'empathie (EEVEE) en neurosciences cognitives et sociales","MSSS",,240000,,240000,600000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Comportement et psychologie humaine"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2012-2013","Fonds de l'avant-garde","","Ana TAVARES","Infrastructure pour l'imagerie avancée (IAI)","MEES",5935816,,,5935816,14839540,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Industries électroniques et connexes","Science et technologie des matériaux"
"Montréal","Université de Montréal","CIUSSS de l'Est-de-l'Île-de-Montréal - Hôpital Maisonneuve-Rosemont","2012-2013","Fonds de l'avant-garde","","Michael TYERS","Une plateforme d'ultra haut-débit intégrée pour la biologie-chimie des systèmes","MEES,MSSS",4025420,174580,,4200000,10500000,"Santé","Biotechnologies (génomique, protéomique, bioinformatique)","Santé","Cancer/oncologie"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Subhasis GHOSHAL","Un laboratoire de recherche pour l'étude de l'hydrogéologie des zones de faille et de leurs interactions avec les eaux souterraines et les eaux de surface","MEES",59831,,,59831,149577,"Sciences naturelles et génie","Environnement et science du climat","Eau","Hydrologie"
"Montréal","Université de Montréal","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Benoit DUPONT","Laboratoire de cyber criminologie - LC2","MEES",88468,,,88468,221171,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Structures et relations sociales","Criminologie"
"Montréal","Université McGill","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Bernard BRAIS","Infrastructure microscopique pour l'analyse stéréologique de modèles transgéniques de maladies génétiques neurodégénératives","MEES",89643,,,89643,224107,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Neurosciences"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Niladri BASU","Laboratoire des sciences en santé environnementale","MEES",200000,,,200000,500000,"Sciences naturelles et génie","Environnement et science du climat","Pollution et protection de l'environnement","Multidisciplinaire en SNG"
"Montréal","Université Concordia","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Christian MOREAU","Laboratoire de diagnostic et de traitement par projection thermique de pointe","MEES",400000,,,400000,1204899,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Amélioration production., fab. et tech. industrielles (rech. gén.)","Science et technologie des matériaux"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Jonathan PERREAULT","Infrastructure pour des études génomiques et fonctionnelles des ARN noncodants","MEES",163027,,,163027,451036,"Sciences naturelles et génie","Biotechnologies (génomique, protéomique, bioinformatique)","Recherches à caractère général et autres recherches médicales","Biochimie"
"Bas-Saint-Laurent","Université du Québec à Rimouski (UQAR)","","2012-2013","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Dany DUMONT","Calculateur haute performance pour la recherche en océanographie","MEES",54000,,,54000,135000,"Sciences naturelles et génie","Environnement et science du climat","Mers et océans","Océanographie"
"Montréal","École de technologie supérieure (ETS)","CIUSSS du Nord-de-l'Île-de-Montréal","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Yvan PETIT","Analyse multi-modale à haute vitesse de simulations expérimentales de fractures vertébrales et de traumatismes médullaires","MSSS",,59990,,59990,164980,"Sciences naturelles et génie","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Fab. de matériel médical et chirurgical + appareils ortho.","Génie biomédical"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Mathias LEGRAND","Analyse modale non-régulière de grands systèmes mécaniques","MEES",40000,,,40000,100000,"Sciences naturelles et génie","Aérospatiale","Bruit et vibrations","Génie mécanique"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Mustafa KUMRAL","Évaluation de fiabilité et optimisation d'entretien des systèmes d'extraction","MEES",50000,,,50000,125000,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Extraction et transfo. de minéraux non énergétiques (+ dérivés)","Génie minier et minéral"
"Montréal","Université McGill","CIUSSS du Centre-Ouest-de-l'Île-de-Montréal - Hôpital général juif - Institut Lady Davis (CR)","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marc FABIAN","Action du complexe CCR4-NOT dans les réseaux d'inactivateurs chez les mammifères dans les cellules normales et cancéreuses","MSSS",,60000,,60000,150000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Biochimie"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Patrizio ANTICI","Laboratoire pour la génération et l'utilisation des faisceaux des protons générés par laser","MEES",258564,,,258564,649128,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Autre recherche","Sciences naturelles et Génie (SNG)"
"Capitale-Nationale","Université Laval","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jérôme ESTAQUIER","Développement d'une infrastructure pour l'étude des maladies infectieuses chez les primates non humains","MEES",71752,,,71752,181028,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Maladies infectieuses et parasitaires"
"Capitale-Nationale","Université Laval","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Yves POULIOT","Banc d'essai pour des travaux de recherche en séparations baromembranaires","MEES",119987,,,119987,299967,"Sciences naturelles et génie","Agroalimentaire","Fabrication de produits alimentaires et de boissons","Science et technologie de l'alimentation"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Luc MONGEAU","Chaire de recherche du Canada en biomécanique et mécanobiologie de la voix","MEES",199050,,,199050,497625,"Sciences naturelles et génie","Nanosciences et nanotechnologies","Recherches médicales, traitement hospitalier, chirurgie","Génie biomédical"
"Montréal","École de technologie supérieure (ETS)","","2013-2014","Défi au coeur des données numériques","","Mohamed CHERIET","Courants mondiaux : les cultures de réseaux littéraires de 1050 à 1900","MEES",75200,,,75200,188000,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Multidisciplinaire en SHS"
"Estrie","Université de Sherbrooke","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Mathieu ROBERT","Optimisation des propriétés et de la durabilité des composites polymères utilisés en génie civil","MEES",75820,,,75820,192590,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Fabrication des matériels non électroniques et non électriques","Science et technologie des matériaux"
"Montréal","Université de Montréal","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Vincent ARCHAMBAULT","Imagerie à haute résolution du cycle de la division cellulaire et de ses mécanismes moléculaires","MEES",160000,,,160000,400000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie moléculaire et cellulaire"
"Montréal","Université McGill","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Stéfan SINCLAIR","Mise à l'échelle de l'analyse de texte et de la visualisation dans les humanités","MEES",200000,,,200000,500000,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Autre recherche","Communications et études des médias"
"Capitale-Nationale","Institut national de la recherche scientifique (INRS)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Bernard GIROUX","Infrastructure de monitoring géophysique environnemental","MEES",226425,,,226425,567625,"Sciences naturelles et génie","Énergie","Exploration et exploitation du milieu terrestre","Géophysique"
"Estrie","Université de Sherbrooke","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Alexandre LANGLOIS","Suivi des évènements extrêmes hivernaux dans l'Arctique","MEES",134770,,,134770,372432,"Sciences naturelles et génie","Environnement et science du climat","Environnement (rech. générale)","Géophysique"
"Capitale-Nationale","Université Laval","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Marcel BABIN","Utilisation de nouvelles technologies d'observation pour l'étude des écosystèmes de l'océan Arctique","MEES",200723,,,200723,512777,"Sciences naturelles et génie","Environnement et science du climat","Mers et océans","Océanographie"
"Montréal","Université du Québec à Montréal (UQAM)","","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Dominic HARDY","Laboratoire d'études numériques sur l'histoire de l'art au Québec","MEES",118514,,,118514,296284,"Arts et lettres","Arts, littérature, cultures et société (création artistique et littéraire, religions, civilisations)","Culture","Beaux-arts"
"Capitale-Nationale","Université Laval","Institut universitaire de cardiologie et de pneumologie de Québec (CRIUCPQ) - Centre de recherche","2013-2014","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Marie-Renée BLANCHET","Étude des mécanismes de régulation de l'inflammation et de la broncho-constriction dans les maladies pulmonaires inflammatoires","MSSS",,124084,,124084,312238,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Santé","Biologie cellulaire"
